SQLDate,Actor1Code,Actor2Code,QuadClass,GoldsteinScale,NumMentions,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,Location
20090902,CHN,CHNOPP,1,2.8,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090902,CHN,CHNOPP,1,2.8,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090902,CHNOPP,CHN,1,1.9,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090902,CHNOPP,CHN,1,1.9,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090903,CHN,CHNGOV,1,3,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090903,CHN,CHNLAB,3,-2,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090903,CHN,CHNOPP,1,3,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090903,CHN,CHNOPP,3,-6.5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090903,CHN,CHNUIG,3,-6.5,15,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090903,CHNOPP,CHN,1,3,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090903,CHNOPP,CHN,3,-6.5,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090903,CHNUIG,CHN,3,-6.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHN,CHNCOP,2,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHN,CHNCVL,3,-2,20,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHN,CHNGOV,3,-2,12,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHN,CHNGOVMIL,1,1.9,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHN,CHNGOVMIL,1,2.8,27,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHN,CHNGOVMIL,1,3.5,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNCOP,CHN,2,-2,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNCOP,CHN,4,-9.5,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNCVL,CHN,3,-2,16,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNEDU,CHN,1,3,7,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNGOVMIL,CHN,1,1.9,27,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNGOVMIL,CHN,1,2.8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNGOVMIL,CHN,1,3.4,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNGOVMIL,CHNSEP,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNUIG,CHN,1,1.9,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,CHNUIG,CHN,3,-6.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090904,MNCCHN,CHN,1,4,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090904,MNCCHN,CHN,1,4,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090905,CHN,CHNCVL,1,-0.3,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHN,CHNCVL,3,-6.5,38,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHN,CHNGOVMIL,1,2.8,25,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHN,CHNJUD,3,-4.4,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHN,CHNJUD,4,-5,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHN,CHNMIL,3,-4,14,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHN,CHNMIL,4,-10,45,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHN,CHNOPP,1,1.9,76,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHN,CHNOPP,1,2.8,28,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNCOP,CHN,4,-5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNCOP,CHN,4,-5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNCVL,CHN,3,-6.5,80,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNCVL,CHN,3,-6.5,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNGOVMIL,CHN,1,1.9,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNGOVMIL,CHN,1,1.9,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNJUD,CHN,3,-4.4,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNJUD,CHN,4,-5,6,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNLAB,CHN,3,-6.5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNLAB,CHN,4,-10,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNOPP,CHN,1,1.9,28,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNOPP,CHN,1,2.8,76,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNOPP,CHN,4,-9.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090905,CHNOPP,CHN,4,-9.5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090906,CHN,CHNCVL,4,-9.5,7,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090906,CHN,CHNGOV,1,2.8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090906,CHN,CHNMIL,3,-4,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090906,CHN,CHNMIL,4,-10,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090906,CHNGOV,CHN,1,1.9,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090907,CHN,CHNGOV,4,-5,9,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090907,CHNGOV,CHN,4,-5,6,43.8811,81.2458,,"Ili, Xinjiang, China"
20090911,CHN,CHNGOV,1,3,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090911,CHN,CHNGOV,1,3,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20090915,CHN,CHNCOP,1,1.9,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090915,CHNCOP,CHN,1,2.8,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20090916,CHN,CHNGOV,1,4,1,39.7786,78.575,,"Kashgar, Xinjiang, China"
20090916,CHN,CHNGOV,4,-5,9,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090917,CHN,CHNCVL,1,3.4,2,39.8833,76.7833,,"Kizilsu, Xinjiang, China"
20090917,CHN,CHNGOV,4,-5,9,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090917,CHNGOV,CHN,4,-5,9,41.1231,80.2644,,"Aksu, Xinjiang, China"
20090921,CHN,CHNGOV,4,-10,2,43.8811,81.2458,,"Ili, Xinjiang, China"
20090924,CHN,MNCCHN,1,4,4,44.3333,84.85,,"Karamay, Xinjiang, China"
20090924,MNCCHN,CHN,1,4,4,44.3333,84.85,,"Karamay, Xinjiang, China"
20090925,MNCCHN,CHN,1,7,2,44.3333,84.85,,"Karamay, Xinjiang, China"
20091001,CHN,CHNGOV,1,-0.4,2,39.8483,78.85,,"Kashgar, Xinjiang, China"
20091001,CHN,CHNMED,1,-0.4,1,39.8483,78.85,,"Kashgar, Xinjiang, China"
20091012,CHNLAB,CHN,4,-5,2,39.3636,75.8508,,"Kashgar, Xinjiang, China"
20091013,CHN,CHNCVL,1,3.4,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091013,CHNCVL,CHN,1,3.4,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091013,CHNUIG,CHN,3,-7.5,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091016,CHN,CHNGOV,4,-5,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20091024,CHNBUS,CHNGOV,1,0,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091105,CHN,CHNLEG,1,1.9,2,41.975,86.6306,,"Bayingol, Xinjiang, China"
20091110,CHN,NGOCHNUIGHRI,3,-2,7,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091110,CHN,CHNGOV,4,-5,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091111,CHN,CHNGOV,4,-10,9,39.3914,76.04,,"Kashgar, Xinjiang, China"
20091203,CHN,CHNUIG,3,-7.5,5,39.3914,76.04,,"Kashgar, Xinjiang, China"
20091208,NGOCHNCHRHRI,CHN,4,-5,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20091212,CHNBUS,CHN,2,6.4,2,37.5667,78.2333,,"Hetian, Xinjiang, China"
20091219,CHN,CHNGOV,1,4,8,37.0997,79.9269,,"Hetian, Xinjiang, China"
20091231,CHN,CHNMIL,1,1,8,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091231,CHN,CHNMIL,1,1.9,12,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091231,CHNEDU,CHN,1,3,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091231,CHNMIL,CHN,1,1,12,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20091231,CHNMIL,CHN,1,2.8,12,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100106,CHN,CHNCVL,2,-2,10,39.25,88.8333,,"Bayingol, Xinjiang, China"
20100114,CHNCVL,CHN,1,1.9,2,47.8667,88.1167,,"Altay, Xinjiang, China"
20100114,CHNCVL,CHN,1,1.9,12,47.8667,88.1167,,"Altay, Xinjiang, China"
20100115,CHNCVL,CHN,4,-10,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100120,CHNGOVMED,CHN,1,0.4,5,47.8667,88.1167,,"Altay, Xinjiang, China"
20100121,CHNHLH,CHNUIG,1,2.8,3,47.8667,88.1167,,"Altay, Xinjiang, China"
20100123,CHN,CHNMIL,1,0,1,47.8667,88.1167,,"Altay, Xinjiang, China"
20100125,CHN,CHNCOP,3,-6.5,3,43.8811,81.2458,,"Ili, Xinjiang, China"
20100125,CHN,CHNGOV,1,2.8,5,47.8667,88.1167,,"Altay, Xinjiang, China"
20100125,CHN,CHNUIG,1,1.9,1,47.8667,88.1167,,"Altay, Xinjiang, China"
20100125,CHNCOP,CHN,1,1,4,43.8811,81.2458,,"Ili, Xinjiang, China"
20100125,CHNCOP,CHN,3,-6.5,2,43.8811,81.2458,,"Ili, Xinjiang, China"
20100125,CHNGOV,CHN,1,1.9,5,47.8667,88.1167,,"Altay, Xinjiang, China"
20100125,CHNUIG,CHN,1,2.8,1,47.8667,88.1167,,"Altay, Xinjiang, China"
20100129,CHN,CHNGOV,1,3.4,4,41.7597,86.1469,,"Korla, Bayingol, Xinjiang, China"
20100129,CHNGOV,CHN,1,3.4,2,41.7597,86.1469,,"Korla, Bayingol, Xinjiang, China"
20100203,CHN,CHNGOV,1,1.9,5,37.0094,81.2647,,"Hetian, Xinjiang, China"
20100203,CHN,CHNGOVMED,4,-10,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100203,CHNGOV,CHN,1,2.8,5,37.0094,81.2647,,"Hetian, Xinjiang, China"
20100212,CHN,CHNGOVMED,4,-10,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100214,CHN,CHNGOV,3,-5,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100214,CHNGOV,CHN,3,-5,4,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100311,CHN,CHNLEG,3,-2,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100311,CHNCOP,CHN,3,-2,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100403,CHN,MNCCHN,1,3.4,4,44.3333,84.85,,"Karamay, Xinjiang, China"
20100408,CHN,CHNGOV,2,6.4,5,44.1256,80.4144,,"Ili, Xinjiang, China"
20100408,CHN,CHNGOV,2,6.4,2,44.1256,80.4144,,"Ili, Xinjiang, China"
20100408,CHN,CHNUIG,2,6.4,2,44.1256,80.4144,,"Ili, Xinjiang, China"
20100519,CHN,CHNUIG,1,3,2,43.5833,92.85,,"Kumul, Xinjiang, China"
20100524,CHN,CHNGOV,1,5,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100524,CHNGOV,CHN,1,5,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100526,CHN,CHNUIG,4,-10,2,37.0997,79.9269,,"Hetian, Xinjiang, China"
20100608,CHNGOV,CHN,1,8,2,42.9333,89.1667,,"Turpan, Xinjiang, China"
20100608,CHNUIG,CHN,1,8,15,42.9333,89.1667,,"Turpan, Xinjiang, China"
20100624,NGOCHNUIGHRI,CHN,1,-0.4,19,41.1231,80.2644,,"Aksu, Xinjiang, China"
20100628,CHN,MNCCHN,1,2.8,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100628,MNCCHN,CHNCVL,4,-4,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100629,CHN,CHNGOV,1,5.2,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100629,CHNGOV,CHN,1,0,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100702,CHN,CHNGOV,1,0,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100702,CHN,CHNGOV,1,1.9,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100702,CHNGOV,CHN,1,2.8,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100705,CHN,CHNGOV,1,2.8,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100705,CHN,CHNGOV,4,-9.2,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100705,CHN,NGOCHNUIGHRI,3,-2,7,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100705,CHNCOP,NGOCHNUIGHRI,3,-2,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100705,CHNCOP,NGOCHNUIGHRI,3,-2,8,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100705,CHNGOV,CHN,1,2.8,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100705,CHNGOV,CHN,4,-9.2,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100710,CHNEDU,CHN,1,-0.4,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100727,CHNJUD,CHN,1,0,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100727,CHNJUD,CHN,3,-4.4,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100727,CHNJUD,CHN,4,-5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100731,CHNMIL,CHN,1,4,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20100811,CHNAGR,CHN,2,6,4,38.6486,76.4553,,"Kashgar, Xinjiang, China"
20100818,CHN,CHNUIG,4,-10,5,41.1231,80.2644,,"Aksu, Xinjiang, China"
20100819,CHNGOV,CHN,1,0.4,1,41.1231,80.2644,,"Aksu, Xinjiang, China"
20100819,CHNGOV,CHN,4,-10,10,41.1231,80.2644,,"Aksu, Xinjiang, China"
20100819,CHNUIG,CHN,4,-9.5,7,41.1231,80.2644,,"Aksu, Xinjiang, China"
20100821,CHN,CHNCVL,4,-9,1,39.7061,76.1519,,"Kizilsu, Xinjiang, China"
20100823,CHN,CHNSEP,3,-2,2,36.8333,81.6,,"Hetian, Xinjiang, China"
20100826,CHN,CHNEDU,1,0,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100827,CHN,CHNEDU,1,0,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100827,CHNCOP,CHNUIG,1,3.4,9,41.1231,80.2644,,"Aksu, Xinjiang, China"
20100830,CHN,CHNCOP,1,3.4,4,41.1231,80.2644,,"Aksu, Xinjiang, China"
20100902,CHN,CHNUIG,1,0,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100912,CHNCVL,CHN,4,-5,1,41.7278,82.9364,,"Aksu, Xinjiang, China"
20100913,CHNMED,CHNGOV,1,0,9,41.1231,80.2644,,"Aksu, Xinjiang, China"
20100915,CHN,CHNCVL,1,7,3,43.8811,81.2458,,"Ili, Xinjiang, China"
20100915,CHNCVL,CHN,1,7,3,43.8811,81.2458,,"Ili, Xinjiang, China"
20100919,CHN,CHNUIG,1,3.4,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100919,CHN,CHNUIG,2,7.4,2,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20100924,CHN,CHNUIG,1,3,2,44.1256,80.4144,,"Ili, Xinjiang, China"
20100924,CHN,CHNUIG,1,3,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100924,CHN,CHNUIG,2,6,2,44.1256,80.4144,,"Ili, Xinjiang, China"
20100924,CHN,CHNUIG,2,6,4,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100925,CHN,CHNUIG,1,3,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100925,CHN,CHNUIG,2,6,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20100927,NGOCHNUIGHRI,CHN,1,3,2,41.7278,82.9364,,"Aksu, Xinjiang, China"
20100927,NGOCHNUIGHRI,CHN,1,3,1,43.8811,81.2458,,"Ili, Xinjiang, China"
20100927,NGOCHNUIGHRI,CHN,1,3,1,43.8811,81.2458,,"Ili, Xinjiang, China"
20100927,NGOCHNUIGHRI,CHNGOV,1,3,3,41.7278,82.9364,,"Aksu, Xinjiang, China"
20100927,NGOCHNUIGHRI,CHNGOV,1,3,2,43.8811,81.2458,,"Ili, Xinjiang, China"
20101001,CHNCOP,CHN,1,4,1,44.65,82.8333,,"Bortala, Xinjiang, China"
20101026,CHN,CHNGOV,1,2.8,2,37.0094,81.2647,,"Hetian, Xinjiang, China"
20101026,CHNGOV,CHN,1,1.9,2,37.0094,81.2647,,"Hetian, Xinjiang, China"
20101027,CHN,CHNUIG,1,1.9,21,40.3144,80.0819,,"Xinjiang, China"
20101027,CHN,CHNUIG,1,2.8,3,40.3144,80.0819,,"Xinjiang, China"
20101027,CHNUIG,CHN,1,1.9,3,40.3144,80.0819,,"Xinjiang, China"
20101027,CHNUIG,CHN,1,2.8,21,40.3144,80.0819,,"Xinjiang, China"
20101028,CHN,CHNGOV,1,1.9,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20101028,CHN,CHNGOV,1,2.8,15,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20101028,CHN,CHNGOV,4,-10,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20101028,CHN,CHNGOV,4,-10,9,39.3914,76.04,,"Kashgar, Xinjiang, China"
20101028,CHNGOV,CHN,1,1.9,15,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20101028,CHNGOV,CHN,1,2.8,5,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20101101,CHN,CHNGOV,1,1,1,37.0094,81.2647,,"Hetian, Xinjiang, China"
20101101,CHNGOV,CHN,1,1,1,37.0094,81.2647,,"Hetian, Xinjiang, China"
20101102,CHN,CHNCVL,1,0,1,46.25,86.8333,,"Xinjiang, China"
20101102,CHNCVL,CHN,1,0,1,46.25,86.8333,,"Xinjiang, China"
20101103,CHN,CHNCVL,1,0,1,46.25,86.8333,,"Xinjiang, China"
20101126,CHN,CHNMED,1,3,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20101129,CHNEDU,CHN,4,-9.5,2,41.1231,80.2644,,"Aksu, Xinjiang, China"
20101129,CHNGOV,CHN,3,-2,4,44.3,86.2167,,"Changji, Xinjiang, China"
20101129,CHNUIG,CHN,4,-9.5,7,41.1231,80.2644,,"Aksu, Xinjiang, China"
20101205,CHNCVL,CHN,1,7,6,44.1256,80.4144,,"Ili, Xinjiang, China"
20101205,CHNCVL,CHN,1,7,9,44.1256,80.4144,,"Ili, Xinjiang, China"
20101207,CHN,CHNCOP,1,0,12,44.65,82.8333,,"Bortala, Xinjiang, China"
20101212,CHN,CHNGOV,1,3.4,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20101214,CHN,CHNUIG,1,0,14,41.7433,82.0783,,"Aksu, Xinjiang, China"
20101214,CHNGOV,CHN,2,7.4,2,41.7433,82.0783,,"Aksu, Xinjiang, China"
20101216,CHN,CHNUIG,1,2.8,18,44.1256,80.4144,,"Ili, Xinjiang, China"
20101216,CHNUIG,CHN,1,1.9,9,44.1256,80.4144,,"Ili, Xinjiang, China"
20101217,CHN,CHNUIG,1,2.8,9,44.1256,80.4144,,"Ili, Xinjiang, China"
20101228,CHN,CHNUIG,3,-7,7,43.8811,81.2458,,"Ili, Xinjiang, China"
20110105,CHNGOV,CHNGOV,1,4.5,1,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20110105,CHNGOV,CHNGOV,1,4.5,3,43.801,87.6005,,"Shayibak, Urumqi, Xinjiang, China, 830000"
20110108,CHN,CHNEDU,4,-5,9,44.3,86.0333,,"Shihezi, Xinjiang, China"
20110110,CHN,CHNGOV,1,7,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110110,CHN,CHNGOV,1,7,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110110,CHNGOV,CHN,1,7,3,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110110,CHNGOV,CHN,1,7,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110115,CHNJUD,CHN,1,0,1,36.9,84,,"Xinjiang, China"
20110129,CHN,CHNBUS,1,2.8,2,37.0997,79.9269,,"Hetian, Xinjiang, China"
20110129,CHNBUS,CHN,1,1.9,2,37.0997,79.9269,,"Hetian, Xinjiang, China"
20110201,CHN,CHNEDU,1,0,2,42.7833,94.6,,"Kumul, Xinjiang, China"
20110201,CHNGOV,CHN,1,0,2,42.7833,94.6,,"Kumul, Xinjiang, China"
20110201,CHNGOV,CHNEDU,1,0,5,42.7833,94.6,,"Kumul, Xinjiang, China"
20110203,CHN,CHNGOV,1,3,1,41.7278,82.9364,,"Aksu, Xinjiang, China"
20110204,CHN,CHNGOV,1,5.2,4,43.8811,81.2458,,"Ili, Xinjiang, China"
20110207,CHN,CHNCVL,1,7,4,44.65,82.8333,,"Bortala, Xinjiang, China"
20110207,CHNCVL,CHN,1,7,4,44.65,82.8333,,"Bortala, Xinjiang, China"
20110207,CHNCVL,CHN,1,3.4,4,44.65,82.8333,,"Bortala, Xinjiang, China"
20110213,CHN,CHNBUS,1,-2,4,37.4,85.3333,,"Xinjiang, China"
20110213,CHN,MNCCHN,2,6,1,38.1956,77.2722,,"Kashgar, Xinjiang, China"
20110219,CHN,CHNMED,1,0.4,2,45.6004,84.8601,,"Karamay, Xinjiang, China"
20110222,CHN,MNCCHN,1,7,8,42.3164,86.3828,,"Bayingol, Xinjiang, China"
20110222,MNCCHN,CHN,1,7,4,42.3164,86.3828,,"Bayingol, Xinjiang, China"
20110223,CHN,CHNCVL,3,-2,4,37.0997,79.9269,,"Hetian, Xinjiang, China"
20110224,CHN,CHNGOVMED,4,-10,4,41.1231,80.2644,,"Aksu, Xinjiang, China"
20110227,CHNGOV,CHN,1,3,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110228,CHNGOV,CHN,1,3,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110303,CHNBUS,CHN,1,0,2,42.7833,94.6,,"Kumul, Xinjiang, China"
20110306,CHN,CHNGOV,1,1.9,4,41.7597,86.1469,,"Korla, Bayingol, Xinjiang, China"
20110306,CHN,CHNGOV,1,1.9,4,41.7597,86.1469,,"Korla, Bayingol, Xinjiang, China"
20110323,CHN,CHNMED,1,2.8,187,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110323,CHN,CHNMED,1,2.8,24,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110323,CHNMED,CHN,1,1.9,35,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110323,CHNMED,CHN,1,1.9,8,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110325,CHN,CHNGOV,1,0,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110325,CHN,CHNGOV,2,7,1,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110325,CHN,CHNUIG,1,5.2,5,44.1256,80.4144,,"Ili, Xinjiang, China"
20110325,NGOCHNUIGHRI,CHNGOV,1,0,6,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110325,NGOCHNUIGHRI,CHNGOV,2,7,6,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110409,CHN,CHNGOV,2,7,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110409,CHNGOV,CHN,2,7,2,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110420,CHN,CHNGOV,1,4,4,36.9,84,,"Xinjiang, China"
20110420,CHNGOV,CHN,1,4,4,36.9,84,,"Xinjiang, China"
20110421,CHN,CHNGOV,1,4,2,36.9,84,,"Xinjiang, China"
20110421,CHNGOV,CHN,1,4,2,36.9,84,,"Xinjiang, China"
20110503,CHN,CHNGOV,1,2.8,8,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110503,CHNGOV,CHN,1,2.8,6,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110506,CHN,CHNGOV,1,7,4,39.4547,75.9797,,"Kashgar, Xinjiang, China"
20110506,CHN,CHNUIG,1,7,4,39.4547,75.9797,,"Kashgar, Xinjiang, China"
20110506,CHNGOV,CHN,1,7,2,39.4547,75.9797,,"Kashgar, Xinjiang, China"
20110506,CHNUIG,CHN,1,7,2,39.4547,75.9797,,"Kashgar, Xinjiang, China"
20110509,CHN,CHNUIG,2,6,36,39.3914,76.04,,"Kashgar, Xinjiang, China"
20110509,CHN,CHNUIG,2,-2,32,39.3914,76.04,,"Kashgar, Xinjiang, China"
